Unit,ActiveBaseline_modulation_direction,PTP_class
SUBJ-ID-154_210510_concat_cluster1773,increase,broad
SUBJ-ID-154_210510_concat_cluster1774,increase,broad
SUBJ-ID-154_210510_concat_cluster1778,increase,narrow
SUBJ-ID-154_210511_concat_cluster1779,none,narrow
SUBJ-ID-154_210511_concat_cluster1967,decrease,broad
SUBJ-ID-154_210511_concat_cluster1976,increase,broad
SUBJ-ID-154_210511_concat_cluster2307,decrease,broad
SUBJ-ID-154_210511_concat_cluster2308,decrease,broad
SUBJ-ID-154_210511_concat_cluster2311,decrease,broad
SUBJ-ID-154_210511_concat_cluster2312,increase,broad
SUBJ-ID-154_210511_concat_cluster2784,increase,broad
SUBJ-ID-154_210511_concat_cluster2796,none,broad
SUBJ-ID-154_210511_concat_cluster2799,none,broad
SUBJ-ID-154_210511_concat_cluster2802,decrease,broad
SUBJ-ID-154_210511_concat_cluster2804,decrease,broad
SUBJ-ID-154_210511_concat_cluster2807,decrease,broad
SUBJ-ID-154_210511_concat_cluster2869,increase,broad
SUBJ-ID-154_210511_concat_cluster2945,increase,broad
SUBJ-ID-154_210511_concat_cluster2954,increase,broad
SUBJ-ID-154_210511_concat_cluster2955,increase,broad
SUBJ-ID-154_210511_concat_cluster2977,increase,broad
SUBJ-ID-154_210511_concat_cluster2979,decrease,broad
SUBJ-ID-154_210511_concat_cluster3016,increase,broad
SUBJ-ID-154_210511_concat_cluster3031,none,broad
SUBJ-ID-154_210511_concat_cluster3032,none,broad
SUBJ-ID-154_210512_concat_cluster1227,decrease,broad
SUBJ-ID-154_210512_concat_cluster1278,decrease,narrow
SUBJ-ID-154_210512_concat_cluster1304,decrease,broad
SUBJ-ID-154_210512_concat_cluster1307,none,broad
SUBJ-ID-154_210512_concat_cluster1422,decrease,broad
SUBJ-ID-154_210512_concat_cluster1452,decrease,broad
SUBJ-ID-154_210512_concat_cluster1528,decrease,broad
SUBJ-ID-154_210512_concat_cluster1529,decrease,broad
SUBJ-ID-154_210512_concat_cluster1885,none,broad
SUBJ-ID-154_210512_concat_cluster1886,decrease,broad
SUBJ-ID-154_210512_concat_cluster1933,increase,narrow
SUBJ-ID-154_210512_concat_cluster2036,increase,broad
SUBJ-ID-154_210512_concat_cluster2038,none,broad
SUBJ-ID-154_210512_concat_cluster2156,none,broad
SUBJ-ID-154_210512_concat_cluster2157,none,broad
SUBJ-ID-154_210513_concat_cluster2313,decrease,broad
SUBJ-ID-154_210513_concat_cluster2408,decrease,broad
SUBJ-ID-154_210513_concat_cluster2659,none,broad
SUBJ-ID-154_210513_concat_cluster2661,increase,broad
SUBJ-ID-154_210513_concat_cluster2709,decrease,broad
SUBJ-ID-154_210513_concat_cluster2783,decrease,broad
SUBJ-ID-154_210513_concat_cluster2810,increase,broad
SUBJ-ID-154_210513_concat_cluster3204,decrease,broad
SUBJ-ID-154_210513_concat_cluster3205,increase,broad
SUBJ-ID-154_210513_concat_cluster3206,decrease,broad
